**********
SEMILLA 10
**********
Iteración 555	 Error de entrenamiento: 0.479156
Iteración 556	 Error de entrenamiento: 0.479157
Iteración 557	 Error de entrenamiento: 0.479157
Iteración 558	 Error de entrenamiento: 0.479157
Iteración 559	 Error de entrenamiento: 0.479157
Iteración 560	 Error de entrenamiento: 0.479157
Iteración 561	 Error de entrenamiento: 0.479157
Iteración 562	 Error de entrenamiento: 0.479158
Iteración 563	 Error de entrenamiento: 0.479158
Iteración 564	 Error de entrenamiento: 0.479158
Iteración 565	 Error de entrenamiento: 0.479158
Iteración 566	 Error de entrenamiento: 0.479158
Iteración 567	 Error de entrenamiento: 0.479158
Iteración 568	 Error de entrenamiento: 0.479159
Iteración 569	 Error de entrenamiento: 0.479159
Iteración 570	 Error de entrenamiento: 0.479159
Iteración 571	 Error de entrenamiento: 0.479159
Iteración 572	 Error de entrenamiento: 0.479159
Iteración 573	 Error de entrenamiento: 0.479159
Iteración 574	 Error de entrenamiento: 0.479159
Iteración 575	 Error de entrenamiento: 0.47916
Iteración 576	 Error de entrenamiento: 0.47916
Iteración 577	 Error de entrenamiento: 0.47916
Iteración 578	 Error de entrenamiento: 0.47916
Iteración 579	 Error de entrenamiento: 0.47916
