**********
SEMILLA 10
**********
Iteración 501	 Error de entrenamiento: 0,00593728
Iteración 502	 Error de entrenamiento: 0,00592523
Iteración 503	 Error de entrenamiento: 0,00591329
Iteración 504	 Error de entrenamiento: 0,00590144
Iteración 505	 Error de entrenamiento: 0,00588968
Iteración 506	 Error de entrenamiento: 0,00587802
Iteración 507	 Error de entrenamiento: 0,00586644
Iteración 508	 Error de entrenamiento: 0,00585495
Iteración 509	 Error de entrenamiento: 0,00584353
Iteración 510	 Error de entrenamiento: 0,00583219
Iteración 511	 Error de entrenamiento: 0,00582092
Iteración 512	 Error de entrenamiento: 0,00580972
Iteración 513	 Error de entrenamiento: 0,00579857
Iteración 514	 Error de entrenamiento: 0,00578749
Iteración 515	 Error de entrenamiento: 0,00577645
Iteración 516	 Error de entrenamiento: 0,00576546
Iteración 517	 Error de entrenamiento: 0,00575451
Iteración 518	 Error de entrenamiento: 0,0057436
Iteración 519	 Error de entrenamiento: 0,00573271
Iteración 520	 Error de entrenamiento: 0,00572184
Iteración 521	 Error de entrenamiento: 0,005711
Iteración 522	 Error de entrenamiento: 0,00570016
Iteración 523	 Error de entrenamiento: 0,00568933
Iteración 524	 Error de entrenamiento: 0,0056785
Iteración 525	 Error de entrenamiento: 0,00566766
Iteración 526	 Error de entrenamiento: 0,00565681
Iteración 527	 Error de entrenamiento: 0,00564594
Iteración 528	 Error de entrenamiento: 0,00563504
Iteración 529	 Error de entrenamiento: 0,00562411
Iteración 530	 Error de entrenamiento: 0,00561315
Iteración 531	 Error de entrenamiento: 0,00560215
Iteración 532	 Error de entrenamiento: 0,00559109
Iteración 533	 Error de entrenamiento: 0,00557998
Iteración 534	 Error de entrenamiento: 0,00556882
Iteración 535	 Error de entrenamiento: 0,00555758
Iteración 536	 Error de entrenamiento: 0,00554628
Iteración 537	 Error de entrenamiento: 0,00553491
Iteración 538	 Error de entrenamiento: 0,00552346
Iteración 539	 Error de entrenamiento: 0,00551192
Iteración 540	 Error de entrenamiento: 0,00550029
Iteración 541	 Error de entrenamiento: 0,00548858
Iteración 542	 Error de entrenamiento: 0,00547676
Iteración 543	 Error de entrenamiento: 0,00546485
Iteración 544	 Error de entrenamiento: 0,00545284
Iteración 545	 Error de entrenamiento: 0,00544072
Iteración 546	 Error de entrenamiento: 0,00542849
Iteración 547	 Error de entrenamiento: 0,00541615
Iteración 548	 Error de entrenamiento: 0,00540369
Iteración 549	 Error de entrenamiento: 0,00539112
Iteración 550	 Error de entrenamiento: 0,00537843
Iteración 551	 Error de entrenamiento: 0,00536562
Iteración 552	 Error de entrenamiento: 0,00535269
Iteración 553	 Error de entrenamiento: 0,00533964
Iteración 554	 Error de entrenamiento: 0,00532646
Iteración 555	 Error de entrenamiento: 0,00531316
Iteración 556	 Error de entrenamiento: 0,00529974
Iteración 557	 Error de entrenamiento: 0,00528619
Iteración 558	 Error de entrenamiento: 0,00527252
Iteración 559	 Error de entrenamiento: 0,00525872
Iteración 560	 Error de entrenamiento: 0,0052448
